Equity Holding,Shares,Market Value,Country
Mead Johnson Nutrition Co,154000,20000000,United States
MeadWestvaco Corp,268000,17000000,United States
Media Nusantara Citra Tbk PT,7020000,2000000,Indonesia
MediaTek Inc,2823000,48000000,Taiwan
Mediaset SpA,3634000,21000000,Italy
Medibank Pvt Ltd,2930000,7000000,Australia
Mediclinic International Ltd,756000,10000000,South Africa
Mediobanca SpA,302000,4000000,Italy
Medtronic PLC,605000,60000000,United States
Mega Financial Holding Co Ltd,14994000,16000000,Taiwan
MegaFon OAO Depositary Receipt,184000,4000000,Russia
Megaworld Corp,25756000,4000000,Philippines
Melco Crown Entertainment Ltd Depositary Receipt,115000,3000000,Hong Kong
Melker Schorling AB,29000,2000000,Sweden
Merck & Co Inc,1479000,108000000,United States
Merck KGaA,376000,53000000,Germany
Merida Industry Co Ltd,471000,5000000,Taiwan
Meritz Fire & Marine Insurance Co Ltd,128000,2000000,South Korea
Merry Electronics Co Ltd,307000,1000000,Taiwan
MetLife Inc,2234000,143000000,United States
Metro Pacific Investments Corp,22519000,3000000,Philippines
Metropolitan Bank & Trust Co,2558000,7000000,Philippines
Mettler-Toledo International Inc,37000,15000000,United States
Mexichem SAB de CV,1686000,6000000,Mexico
Micro-Star International Co Ltd,1339000,2000000,Taiwan
Micron Technology Inc,1775000,61000000,United States
Microsoft Corp,15117000,778000000,United States
Midea Group Co Ltd,917000,6000000,China
Migros Ticaret AS,99000,1000000,Turkey
Millicom International Cellular SA Depositary Receipt,15000,1000000,Luxembourg
Mindray Medical International Ltd Depositary Receipt,58000,2000000,China
Minebea Co Ltd,983000,20000000,Japan
Minor International PCL,2032000,3000000,Thailand
Miraca Holdings Inc,31000,2000000,Japan
Mirvac Group,3896000,8000000,Australia
Mitac Holdings Corp,1118000,1000000,Taiwan
Mitsubishi Chemical Holdings Corp,5503000,41000000,Japan
Mitsubishi Corp,4464000,114000000,Japan
Mitsubishi Electric Corp,6286000,95000000,Japan
Mitsubishi Estate Co Ltd,2671000,79000000,Japan
Mitsubishi Gas Chemical Co Inc,2649000,17000000,Japan
Mitsubishi Heavy Industries Ltd,5508000,39000000,Japan
Mitsubishi Materials Corp,3718000,16000000,Japan
Mitsubishi Motors Corp,3909000,45000000,Japan
Mitsubishi Tanabe Pharma Corp,1647000,36000000,Japan
Mitsubishi UFJ Financial Group Inc,33872000,266000000,Japan
Mitsubishi UFJ Lease & Finance Co Ltd,1934000,12000000,Japan
Mitsui & Co Ltd,5530000,94000000,Japan
Mitsui Engineering & Shipbuilding Co Ltd,1853000,4000000,Japan
Mitsui Fudosan Co Ltd,2154000,80000000,Japan
Mitsui OSK Lines Ltd,760000,3000000,Japan
Mixi Inc,85000,4000000,Japan
Mizuho Financial Group Inc,61900000,138000000,Japan
Mobile TeleSystems OJSC Depositary Receipt,916000,12000000,Russia
Mobileye NV,93000,5000000,Israel
Molibdenos y Metales SA,129000,1000000,Chile
Molson Coors Brewing Co,529000,50000000,United States
Mondelez International Inc,2285000,104000000,United States
Mondi Ltd,223000,5000000,South Africa
Monsanto Co,868000,124000000,United States
Monster Beverage Corp,270000,47000000,United States
Moody's Corp,313000,41000000,United States
Morgan Stanley,2916000,132000000,United States
Mosaic Co/The,1273000,74000000,United States
Motorola Solutions Inc,989000,84000000,United States
Mr Price Group Ltd,430000,12000000,South Africa
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,289000,79000000,Germany
Multiplan Empreendimentos Imobiliarios SA,113000,3000000,Brazil
Murata Manufacturing Co Ltd,516000,90000000,Japan
Murphy Oil Corp,418000,25000000,United States
Mytilineos Holdings SA,148000,1000000,Greece
NARI Technology Co Ltd,744000,3000000,China
NASDAQ OMX Group Inc/The,238000,15000000,United States
NAVER Corp,62000,47000000,South Korea
NCSoft Corp,30000,6000000,South Korea
NEC Corp,4927000,18000000,Japan
NGK Insulators Ltd,575000,16000000,Japan
NGK Spark Plug Co Ltd,205000,7000000,Japan
NH Foods Ltd,714000,21000000,Japan
NHK Spring Co Ltd,1461000,19000000,Japan
NICE-Systems Ltd,44000,3000000,Israel
NICE-Systems Ltd Depositary Receipt,99000,8000000,Israel
NN Group NV,220000,8000000,Netherlands
NOK Corp,564000,22000000,Japan
NOVATEK OAO Depositary Receipt,148000,14000000,Russia
NRG Energy Inc,1022000,33000000,United States
NSK Ltd,956000,18000000,Japan
NTN Corp,1270000,9000000,Japan
NTT DOCOMO Inc,3330000,73000000,Japan
NTT Urban Development Corp,316000,4000000,Japan
NVIDIA Corp,1122000,30000000,United States
NVR Inc,5000,8000000,United States
NWS Holdings Ltd,2725000,6000000,Hong Kong
NXP Semiconductors NV,119000,15000000,Netherlands
Nabors Industries Ltd,2362000,41000000,United States
Nabtesco Corp,113000,4000000,Japan
Nagoya Railroad Co Ltd,3492000,18000000,Japan
Nampak Ltd,988000,4000000,South Africa
Nan Ya Plastics Corp,9956000,28000000,Taiwan
Nankai Electric Railway Co Ltd,1391000,7000000,Japan
Nanya Technology Corp,722000,2000000,Taiwan
Naspers Ltd,795000,155000000,South Africa
National Australia Bank Ltd,2583000,96000000,Australia
National Bank of Greece SA,2807000,4000000,Greece
National Oilwell Varco Inc,556000,35000000,United States
Natixis SA,1958000,19000000,France
Natura Cosmeticos SA,351000,4000000,Brazil
Navient Corp,779000,20000000,United States
Nedbank Group Ltd,321000,8000000,South Africa
Neptune Orient Lines Ltd/Singapore,2679000,2000000,Singapore
Nestle Malaysia Bhd,89000,2000000,Malaysia
Nestle SA,6375000,610000000,Switzerland
NetApp Inc,1306000,59000000,United States
NetEase Inc Depositary Receipt,45000,6000000,China
Netcare Ltd,2830000,12000000,South Africa
New Oriental Education & Technology Group Inc Depositary Receipt,81000,2000000,China
New World China Land Ltd,5323000,4000000,Hong Kong
New World Development Co Ltd,8650000,13000000,Hong Kong
New York Community Bancorp Inc,794000,17000000,United States
Newcrest Mining Ltd,720000,9000000,Australia
Newell Rubbermaid Inc,174000,9000000,United States
Newmont Mining Corp,1017000,28000000,United States
Nexon Co Ltd,1522000,21000000,Japan
Next PLC,222000,29000000,United Kingdom
NextEra Energy Inc,77000,10000000,United States
Nidec Corp,455000,38000000,Japan
Nielsen NV,77000,4000000,United States
Nintendo Co Ltd,179000,33000000,Japan
Nippon Electric Glass Co Ltd,3728000,23000000,Japan
Nippon Paint Holdings Co Ltd,541000,25000000,Japan
Nippon Paper Industries Co Ltd,754000,14000000,Japan
Nippon Prologis REIT Inc,7000,19000000,Japan
Nippon Steel & Sumitomo Metal Corp,24569000,78000000,Japan
Nippon Telegraph & Telephone Corp,1022000,80000000,Japan
Nippon Television Holdings Inc,762000,16000000,Japan
Nippon Yusen KK,2493000,9000000,Japan
Nishi-Nippon City Bank Ltd/The,5229000,19000000,Japan
Nissan Chemical Industries Ltd,537000,14000000,Japan
Nissan Motor Co Ltd,5392000,70000000,Japan
Nisshinbo Holdings Inc,803000,10000000,Japan
Nissin Foods Holdings Co Ltd,245000,15000000,Japan
Nitori Holdings Co Ltd,297000,26000000,Japan
Nitto Denko Corp,406000,34000000,Japan
Noble Energy Inc,58000,4000000,United States
Noble Group Ltd,9281000,8000000,Hong Kong
Nokian Renkaat OYJ,200000,8000000,Finland
Nomura Holdings Inc,9447000,70000000,Japan
Nomura Real Estate Holdings Inc,925000,21000000,Japan
Nomura Real Estate Office Fund Inc,2000,11000000,Japan
Nomura Research Institute Ltd,97000,5000000,Japan
Nordea Bank AB,3973000,61000000,Sweden
Norfolk Southern Corp,19000,2000000,United States
Norsk Hydro ASA,1093000,7000000,Norway
North Pacific Bank Ltd,1129000,5000000,Japan
Northern Trust Corp,433000,38000000,United States
Northrop Grumman Corp,154000,31000000,United States
Novartis AG,4464000,560000000,Switzerland
Novatek Microelectronics Corp,1391000,9000000,Taiwan
Novion Property Group,2541000,6000000,Australia
Novo Nordisk A/S,3126000,212000000,Denmark
Novolipetsk Steel OJSC Depositary Receipt,174000,3000000,Russia
Novozymes A/S,200000,12000000,Denmark
Nuance Communications Inc,388000,7000000,United States
Nucor Corp,628000,38000000,United States
Numericable-SFR SAS,35000,2000000,France
O2 Czech Republic AS,125000,1000000,Czech Republic
OCI Co Ltd,34000,4000000,South Korea
OGE Energy Corp,263000,11000000,United States
OMV AG,92000,3000000,Austria
ON Semiconductor Corp,432000,7000000,United States
ONEOK Inc,168000,10000000,United States
OPAP SA,393000,5000000,Greece
ORIX Corp,3348000,60000000,Japan
OSRAM Licht AG,333000,21000000,Germany
OTP Bank PLC,354000,9000000,Hungary
Obayashi Corp,1085000,9000000,Japan
Obic Co Ltd,360000,19000000,Japan
Occidental Petroleum Corp,669000,62000000,United States
Oceaneering International Inc,190000,13000000,United States
Odakyu Electric Railway Co Ltd,456000,6000000,Japan
Offshore Oil Engineering Co Ltd,883000,2000000,China
Oil Search Ltd,1429000,10000000,Australia
Oil States International Inc,274000,14000000,United States
Olam International Ltd,766000,1000000,Singapore
Olympus Corp,1023000,48000000,Japan
Omnicare Inc,218000,21000000,United States
Omron Corp,478000,27000000,Japan
Ono Pharmaceutical Co Ltd,191000,27000000,Japan
Oracle Corp,4507000,246000000,United States
Oracle Corp Japan,233000,13000000,Japan
Orange Polska SA,1164000,4000000,Poland
Orange SA,2980000,61000000,France
Organizacion Soriana SAB de CV,456000,1000000,Mexico
Orica Ltd,348000,7000000,Australia
Orient Overseas International Ltd,591000,5000000,Hong Kong
Oriental Land Co Ltd/Japan,530000,51000000,Japan
Oriflame Cosmetics SA Depositary Receipt,111000,2000000,Sweden
Origin Energy Ltd,652000,7000000,Australia
Orion Corp/Republic of Korea,4000,5000000,South Korea
Orion Oyj A,38000,1000000,Finland
Orion Oyj B,443000,16000000,Finland
Orix JREIT Inc,5000,9000000,Japan
Orkla ASA,521000,5000000,Norway
Orpea,8793000,701000000,France
Oshkosh Corp,93000,6000000,United States
Otsuka Corp,28000,1000000,Japan
Otsuka Holdings Co Ltd,1973000,78000000,Japan
Outerwall Inc,132000,11000000,United States
Oversea-Chinese Banking Corp Ltd,6021000,59000000,Singapore
PG&E Corp,49000,3000000,United States
PGE Polska Grupa Energetyczna SA,1358000,9000000,Poland
PICC Property & Casualty Co Ltd,4132000,10000000,China
PNC Financial Services Group Inc/The,1007000,119000000,United States
POSCO,164000,46000000,South Korea
PPB Group Bhd,867000,5000000,Malaysia
PPG Industries Inc,185000,53000000,United States
PTC Inc,497000,23000000,United States
PTT Exploration & Production PCL,2016000,9000000,Thailand
PTT Global Chemical PCL,2290000,5000000,Thailand
PTT PCL Foreign,3166000,40000000,Thailand
Paddy Power PLC,20000,2000000,Ireland
Pakuwon Jati Tbk PT,39722000,2000000,Indonesia
Panasonic Corp,5411000,90000000,Japan
Pandora A/S,346000,40000000,Denmark
Parade Technologies Ltd,124000,1000000,Taiwan
Paramount Group Inc,5250000,128000000,United States
Parker-Hannifin Corp,96000,14000000,United States
Parmalat SpA,953000,3000000,Italy
PartnerRe Ltd,101000,15000000,United States
Patterson-UTI Energy Inc,48000,1000000,United States
Paychex Inc,498000,31000000,United States
Paz Oil Co Ltd,17000,3000000,Israel
Peabody Energy Corp,957000,6000000,United States
Pegatron Corp,4532000,16000000,Taiwan
Pentair PLC,244000,19000000,United States
People's Insurance Co Group of China Ltd,4755000,3000000,China
Pepco Holdings Inc,95000,3000000,United States
PepsiCo Inc,1949000,236000000,United States
Pernod Ricard SA,220000,33000000,France
Perusahaan Gas Negara Persero Tbk PT,16459000,8000000,Indonesia
Petkim Petrokimya Holding AS,836000,1000000,Turkey
PetroChina Co Ltd A,1731000,4000000,China
PetroChina Co Ltd H,14637000,21000000,China
Petroleo Brasileiro SA Depositary Receipt,1988000,15000000,Brazil
Petroleo Brasileiro SA Depositary ReceiptPreference,2805000,22000000,Brazil
Petroleum Geo-Services ASA,1268000,8000000,Norway
Petronas Chemicals Group Bhd,3579000,7000000,Malaysia
Petronas Dagangan Bhd,498000,3000000,Malaysia
Petronas Gas Bhd,688000,5000000,Malaysia
Pfizer Inc,2503000,110000000,United States
Pharmacyclics Inc,20000,6000000,United States
Philip Morris International Inc,2087000,199000000,United States
Philippine Long Distance Telephone Co Depositary Receipt,126000,10000000,Philippines
Philippine National Bank,888000,2000000,Philippines
Phillips 66,21000,2000000,United States
Phison Electronics Corp,343000,4000000,Taiwan
Pick n Pay Stores Ltd,303000,2000000,South Africa
Pilgrim's Pride Corp,37000,1000000,United States
Ping An Bank Co Ltd,2524000,8000000,China
Ping An Insurance Group Co of China Ltd A,2409000,39000000,China
Ping An Insurance Group Co of China Ltd H,1246000,19000000,China
Pinnacle West Capital Corp,317000,26000000,United States
Pioneer Natural Resources Co,28000,6000000,United States
Piraeus Bank SA,3021000,1000000,Greece
Pirelli & C. SpA,408000,9000000,Italy
Pitney Bowes Inc,442000,13000000,United States
Plum Creek Timber Co Inc,132000,7000000,United States
Polski Koncern Naftowy Orlen SA,555000,11000000,Poland
Polskie Gornictwo Naftowe i Gazownictwo SA,2890000,5000000,Poland
Poly Property Group Co Ltd,3284000,2000000,China
Poly Real Estate Group Co Ltd,3155000,7000000,China
Polycom Inc,623000,11000000,United States
Polyus Gold International Ltd,694000,2000000,Russia
Popular Inc,36000,2000000,United States
Porsche Automobil Holding SE Preference,45000,6000000,Germany
Port of Tauranga Ltd,100000,2000000,New Zealand
Porto Seguro SA,191000,3000000,Brazil
Pou Chen Corp,3481000,6000000,Taiwan
Powertech Technology Inc,470000,1000000,Taiwan
Powszechna Kasa Oszczednosci Bank Polski SA,1650000,19000000,Poland
Powszechny Zaklad Ubezpieczen SA,107000,18000000,Poland
Prada SpA,139000,1000000,Italy
Praxair Inc,246000,38000000,United States
Precinct Properties New Zealand Ltd,1809000,2000000,New Zealand
President Chain Store Corp,1498000,14000000,Taiwan
President Securities Corp,1556000,1000000,Taiwan
Principal Financial Group Inc,433000,28000000,United States
Procter & Gamble Co/The,5202000,540000000,United States
Progressive Corp/The,942000,32000000,United States
Prologis Inc,1038000,57000000,United States
Prologis Property Mexico SA de CV,26192000,59000000,United States
Promotora y Operadora de Infraestructura SAB de CV,426000,6000000,Mexico
Promotora y Operadora de Infraestructura SAB de CV L,96000,1000000,Mexico
Prudential Financial Inc,879000,89000000,United States
Prudential PLC,151000,5000000,United Kingdom
Pruksa Real Estate PCL,1133000,1000000,Thailand
Public Bank Bhd,2200000,14000000,Malaysia
Public Power Corp SA,212000,2000000,Greece
Public Service Enterprise Group Inc,443000,24000000,United States
Public Storage,291000,73000000,United States
PulteGroup Inc,1002000,28000000,United States
Puregold Price Club Inc,2443000,3000000,Philippines
QBE Insurance Group Ltd,1456000,18000000,Australia
QL Resources Bhd,1047000,1000000,Malaysia
QUALCOMM Inc,3471000,305000000,United States
Qantas Airways Ltd,1017000,3000000,Australia
Qihoo 360 Technology Co Ltd Depositary Receipt,49000,3000000,China
Qingdao Haier Co Ltd,788000,4000000,China
Qisda Corp,2917000,2000000,Taiwan
Qorvo Inc,187000,19000000,United States
Quanta Computer Inc,5228000,16000000,Taiwan
Questar Corp,366000,11000000,United States
Quinenco SA,659000,2000000,Chile
Quintiles Transnational Holdings Inc,24000,2000000,United States
RHB Capital Bhd,1421000,4000000,Malaysia
RMB Holdings Ltd,1323000,10000000,South Africa
RTL Group SA,20000,2000000,Luxembourg
RWE AG,98000,3000000,Germany
Rackspace Hosting Inc,82000,5000000,United States
Radiant Opto-Electronics Corp,1463000,6000000,Taiwan
Raiffeisen Bank International AG,317000,6000000,Austria
Rakuten Inc,1529000,34000000,Japan
Rand Merchant Insurance Holdings Ltd,1431000,7000000,South Africa
Randgold Resources Ltd,45000,4000000,United Kingdom
Range Resources Corp,136000,9000000,United States
Ratchaburi Electricity Generating Holding PCL,736000,2000000,Thailand
Raytheon Co,62000,9000000,United States
Realogy Holdings Corp,307000,18000000,United States
Realtek Semiconductor Corp,1494000,6000000,Taiwan
Realty Income Corp,409000,27000000,United States
Recall Holdings Ltd,453000,3000000,Australia
Reckitt Benckiser Group PLC,457000,50000000,United Kingdom
Recruit Holdings Co Ltd,141000,6000000,Japan
Red Hat Inc,170000,16000000,United States
Redefine Properties Ltd,6117000,8000000,South Africa
Reed Elsevier NV,191000,6000000,Netherlands
Regency Centers Corp,186000,16000000,United States
Regeneron Pharmaceuticals Inc,20000,11000000,United States
Regions Financial Corp,2339000,28000000,United States
Reliance Industries Ltd Depositary Receipt,681000,23000000,India
Reliance Steel & Aluminum Co,37000,3000000,United States
Remgro Ltd,846000,24000000,South Africa
Renault SA,285000,33000000,France
Renesas Electronics Corp,1366000,13000000,Japan
Repsol SA,1444000,34000000,Spain
ResMed Inc,263000,24000000,United States
Resona Holdings Inc,6667000,42000000,Japan
Reynolds American Inc,132000,12000000,United States
Richter Gedeon Nyrt,251000,4000000,Hungary
Ricoh Co Ltd,2744000,38000000,Japan
Rinnai Corp,114000,11000000,Japan
Rio Tinto Ltd,411000,23000000,Australia
Rio Tinto PLC,1105000,58000000,United Kingdom
Rite Aid Corp,113000,1000000,United States
Robert Half International Inc,342000,26000000,United States
Robinson Department Store PCL,564000,1000000,Thailand
Robinson Department Store PCL Depositary Receipt,1157000,2000000,Thailand
Robinsons Land Corp,2998000,3000000,Philippines
Roche Holding AG,1201000,420000000,Switzerland
Roche Holding AG Bearer,46000,16000000,Switzerland
Rock-Tenn Co,318000,26000000,United States
Rockwell Collins Inc,123000,15000000,United States
Rohm Co Ltd,257000,22000000,Japan
Rolls-Royce Holdings PLC,1304000,23000000,United Kingdom
Rosneft OAO Depositary Receipt,1965000,11000000,Russia
Rostelecom OJSC Depositary Receipt,239000,2000000,Russia
Rovi Corp,120000,3000000,United States
Royal Bank of Scotland Group PLC,426000,3000000,United Kingdom
Royal Caribbean Cruises Ltd,1450000,150000000,United States
Royal Dutch Shell PLC A,2609000,99000000,United Kingdom
Royal Dutch Shell PLC B,2401000,95000000,United Kingdom
Royal Gold Inc,25000,2000000,United States
Royal Mail PLC,868000,7000000,United Kingdom
Ruentex Development Co Ltd,1041000,2000000,Taiwan
Ruentex Industries Ltd,2058000,6000000,Taiwan
Ryohin Keikaku Co Ltd,58000,11000000,Japan
S-1 Corp,16000,2000000,South Korea
S-Oil Corp,21000,2000000,South Korea
SABMiller PLC,1597000,106000000,United Kingdom
SACI Falabella,1931000,19000000,Chile
SAIC Motor Corp Ltd,1347000,7000000,China
SAP SE,162000,15000000,Germany
SATS Ltd,1112000,3000000,Singapore
SBA Communications Corp,1999000,296000000,United States
SBI Holdings Inc/Japan,630000,10000000,Japan
SCSK Corp,118000,4000000,Japan
SDIC Power Holdings Co Ltd,1701000,4000000,China
SGS SA,2000,4000000,Switzerland
SIA Engineering Co Ltd,463000,2000000,Singapore
SINA Corp/China,33000,1000000,China
SK C&C Co Ltd,45000,12000000,South Korea
SK Holdings Co Ltd,43000,8000000,South Korea
SK Hynix Inc,1178000,61000000,South Korea
SK Innovation Co Ltd,29000,3000000,South Korea
SK Networks Co Ltd,363000,3000000,South Korea
SK Telecom Co Ltd,80000,25000000,South Korea
SL Corp,47000,1000000,South Korea
SL Green Realty Corp,95000,15000000,United States
SM Investments Corp,607000,15000000,Philippines
SM Prime Holdings Inc,17730000,10000000,Philippines
SMC Corp/Japan,145000,55000000,Japan
SMRT Corp Ltd,1393000,2000000,Singapore
SOHO China Ltd,5311000,5000000,China
SONDA SA,899000,3000000,Chile
SP Setia Bhd Group,1282000,2000000,Malaysia
SPAR Group Ltd/The,263000,5000000,South Africa
SPDR MSCI Europe Value Weighted UCITS ETF,61000,3000000,Ireland
SPH REIT,1722000,2000000,Singapore
SPX Corp,128000,14000000,United States
SSE PLC,243000,7000000,United Kingdom
STMicroelectronics NV,377000,4000000,Italy
SUPERVALU Inc,132000,2000000,United States
SVB Financial Group,9000,1000000,United States
Safran SA,99000,9000000,France
Sage Group PLC/The,341000,3000000,United Kingdom
Salesforce.com inc,723000,61000000,United States
Salix Pharmaceuticals Ltd,28000,6000000,United States
Salmar ASA,104000,2000000,Norway
Sampo Oyj,183000,12000000,Finland
Samsung C&T Corp,256000,17000000,South Korea
Samsung Card Co Ltd,161000,8000000,South Korea
Samsung Electro-Mechanics Co Ltd,54000,5000000,South Korea
Samsung Electronics Co Ltd,250000,411000000,South Korea
Samsung Electronics Co Ltd Preference,39000,49000000,South Korea
Samsung Engineering Co Ltd,38000,2000000,South Korea
Samsung Fire & Marine Insurance Co Ltd,82000,25000000,South Korea
Samsung Heavy Industries Co Ltd,363000,7000000,South Korea
Samsung Life Insurance Co Ltd,183000,20000000,South Korea
Samsung SDI Co Ltd,94000,15000000,South Korea
Samsung SDS Co Ltd,12000,4000000,South Korea
Samsung Securities Co Ltd,69000,4000000,South Korea
San Miguel Corp,1743000,3000000,Philippines
SanDisk Corp,368000,30000000,United States
Sanan Optoelectronics Co Ltd,547000,2000000,China
Sanlam Ltd,3107000,25000000,South Africa
Sanofi,1953000,244000000,France
Sanrio Co Ltd,331000,11000000,Japan
Santam Ltd,81000,2000000,South Africa
Santander Consumer USA Holdings Inc,206000,6000000,United States
Santen Pharmaceutical Co Ltd,355000,7000000,Japan
Sany Heavy Industry Co Ltd,1456000,3000000,China
Sapporo Holdings Ltd,1016000,5000000,Japan
SapuraKencana Petroleum Bhd,5197000,4000000,Malaysia
Sasol Ltd,969000,42000000,South Africa
Sberbank of Russia Depositary Receipt,5115000,28000000,Russia
Scentre Group,5680000,21000000,Australia
Schlumberger Ltd,1059000,112000000,United States
Schoeller-Bleckmann Oilfield Equipment AG,16000,1000000,Austria
Schroders PLC Non-Voting,37000,2000000,United Kingdom
Seagate Technology PLC,763000,50000000,United States
Seah Besteel Corp,92000,4000000,South Korea
Sealed Air Corp,222000,13000000,United States
Searainbow Holding Corp,349000,3000000,China
Seattle Genetics Inc,61000,3000000,United States
Secom Co Ltd,496000,42000000,Japan
Securitas AB,101000,2000000,Sweden
Seek Ltd,270000,4000000,Australia
Sega Sammy Holdings Inc,384000,7000000,Japan
Seibu Holdings Inc,60000,2000000,Japan
Seiko Epson Corp,944000,21000000,Japan
Sekisui Chemical Co Ltd,1364000,22000000,Japan
Sekisui House Ltd,267000,5000000,Japan
Select Comfort Corp,105000,5000000,United States
Sembcorp Industries Ltd,1202000,5000000,Singapore
Sembcorp Marine Ltd,1465000,4000000,Singapore
Semen Indonesia Persero Tbk PT,4841000,6000000,Indonesia
Semirara Mining and Power Corp,669000,3000000,Philippines
ServiceNow Inc,148000,15000000,United States
Seven & i Holdings Co Ltd,1886000,101000000,Japan
Severstal PAO Depositary Receipt,318000,5000000,Russia
Shandong Gold Mining Co Ltd,391000,2000000,China
Shanghai Electric Group Co Ltd,2062000,2000000,China
Shanghai Fosun Pharmaceutical Group Co Ltd A,534000,3000000,China
Shanghai Industrial Holdings Ltd,311000,1000000,China
Shanghai International Airport Co Ltd,487000,2000000,China
Shanghai Jahwa United Co Ltd,251000,2000000,China
Shanghai Oriental Pearl Group Co Ltd,773000,3000000,China
Shanghai Pharmaceuticals Holding Co Ltd A,442000,2000000,China
Shanghai Pharmaceuticals Holding Co Ltd H,929000,3000000,China
Shanghai Pudong Development Bank Co Ltd,5501000,18000000,China
Sharp Corp/Japan,3574000,9000000,Japan
Shenzhou International Group Holdings Ltd,371000,2000000,China
Sherwin-Williams Co/The,133000,48000000,United States
Shihlin Electric & Engineering Corp,782000,1000000,Taiwan
Shimamura Co Ltd,122000,14000000,Japan
Shimano Inc,158000,30000000,Japan
Shimao Property Holdings Ltd,1017000,3000000,China
Shimizu Corp,1652000,14000000,Japan
Shin Kong Financial Holding Co Ltd,16633000,6000000,Taiwan
Shin Zu Shing Co Ltd,460000,2000000,Taiwan
Shin-Etsu Chemical Co Ltd,785000,65000000,Japan
Shinhan Financial Group Co Ltd,1018000,49000000,South Korea
Shinkong Synthetic Fibers Corp,3182000,1000000,Taiwan
Shinsei Bank Ltd,2301000,6000000,Japan
Shionogi & Co Ltd,967000,41000000,Japan
Shire PLC,317000,32000000,United Kingdom
Shiseido Co Ltd,626000,14000000,Japan
Shoprite Holdings Ltd,723000,12000000,South Africa
Shougang Fushan Resources Group Ltd,10318000,3000000,China
Showa Denko KK,9778000,16000000,Japan
Shui On Land Ltd,4239000,1000000,China
Shutterfly Inc,140000,8000000,United States
Siam Cement PCL/The,184000,4000000,Thailand
Siam Cement PCL/The Depositary Receipt,425000,8000000,Thailand
Siam City Cement PCL,117000,2000000,Thailand
Siam City Cement PCL Depositary Receipt,74000,1000000,Thailand
Siam Commercial Bank PCL/The,2726000,19000000,Thailand
Siam Commercial Bank PCL/The Depositary Receipt,400000,3000000,Thailand
Siemens AG,11000,2000000,Germany
Sigdo Koppers SA,848000,2000000,Chile
Sigma-Aldrich Corp,207000,36000000,United States
Sihuan Pharmaceutical Holdings Group Ltd,7327000,5000000,China
Silicon Motion Technology Corp Depositary Receipt,62000,2000000,Taiwan
Siliconware Precision Industries Co Ltd,2655000,6000000,Taiwan
Siliconware Precision Industries Co Ltd Depositary Receipt,680000,7000000,Taiwan
Silverlake Axis Ltd,1342000,2000000,Malaysia
Sime Darby Bhd,4725000,15000000,Malaysia
Simon Property Group Inc,630000,156000000,United States
Simplo Technology Co Ltd,478000,3000000,Taiwan
Singapore Airlines Ltd,1280000,14000000,Singapore
Singapore Exchange Ltd,1776000,13000000,Singapore
Singapore Post Ltd,4870000,9000000,Singapore
Singapore Press Holdings Ltd,1325000,5000000,Singapore
Singapore Telecommunications Ltd,15896000,64000000,Singapore
Sino Biopharmaceutical Ltd,4316000,6000000,China
Sino Land Co Ltd,8194000,17000000,Hong Kong
Sino-American Silicon Products Inc,717000,1000000,Taiwan
Sino-Ocean Land Holdings Ltd,4498000,3000000,China
SinoPac Financial Holdings Co Ltd,10586000,6000000,Taiwan
Sinopec Shanghai Petrochemical Co Ltd,2788000,1000000,China
Sinopharm Group Co Ltd,1054000,5000000,China
Sistema JSFC Depositary Receipt,330000,3000000,Russia
Six Flags Entertainment Corp,166000,10000000,United States
Skandinaviska Enskilda Banken AB,3521000,52000000,Sweden
Sky PLC,1657000,31000000,United Kingdom
Skyworks Solutions Inc,183000,23000000,United States
Skyworth Digital Holdings Ltd,2782000,3000000,China
Smith & Nephew PLC,825000,18000000,United Kingdom
Smurfit Kappa Group PLC,41000,1000000,Ireland
Snap-on Inc,51000,10000000,United States
Sociedad Matriz del Banco de Chile SA,10637000,4000000,Chile
Sociedad Quimica y Minera de Chile SA Depositary Receipt,197000,5000000,Chile
Societe Generale SA,1398000,85000000,France
Sofina SA,26000,3000000,Belgium
SoftBank Corp,2088000,154000000,Japan
Sojitz Corp,15394000,33000000,Japan
Sompo Japan Nipponkoa Holdings Inc,505000,20000000,Japan
Sonae SGPS SA,1828000,4000000,Portugal
Sony Corp,2379000,80000000,Japan
Southern Co/The,253000,14000000,United States
Southern Copper Corp,387000,14000000,Peru
Southwest Airlines Co,620000,35000000,United States
Southwestern Energy Co,684000,20000000,United States
Souza Cruz SA,584000,6000000,Brazil
SpareBank 1 SR-Bank ASA,249000,2000000,Norway
Spark New Zealand Ltd,1916000,5000000,New Zealand
Spectra Energy Corp,325000,15000000,United States
Spirit AeroSystems Holdings Inc,238000,16000000,United States
Sprint Corp,1813000,11000000,United States
St Jude Medical Inc,144000,12000000,United States
St Shine Optical Co Ltd,82000,2000000,Taiwan
Standard Bank Group Ltd,2288000,40000000,South Africa
Standard Chartered PLC,1206000,25000000,United Kingdom
Standard Life PLC,971000,9000000,United Kingdom
Stanley Black & Decker Inc,145000,18000000,United States
Staples Inc,900000,19000000,United States
StarHub Ltd,1410000,6000000,Singapore
Start Today Co Ltd,470000,16000000,Japan
Starwood Hotels & Resorts Worldwide Inc,81000,9000000,United States
State Street Corp,828000,77000000,United States
Statoil ASA,2907000,65000000,Norway
